query,operator_mode,region,period_start,period_end,requests,captured_at,source_url,capture_status
"онлайн чат для сайта","broad","Все регионы","2026-07-07","2026-08-05","226","2026-08-07","https://wordstat.yandex.ru/","captured"
"онлайн чат для сайта","phrase","Все регионы","2026-07-07","2026-08-05","57","2026-08-07","https://wordstat.yandex.ru/","captured"
"чат для сайта","broad","Все регионы","2026-07-07","2026-08-05","3615","2026-08-07","https://wordstat.yandex.ru/","captured"
"чат для сайта","phrase","Все регионы","2026-07-07","2026-08-05","135","2026-08-07","https://wordstat.yandex.ru/","captured"
"виджет обратной связи","broad","Все регионы","2026-07-07","2026-08-05","546","2026-08-07","https://wordstat.yandex.ru/","captured"
"виджет обратной связи","phrase","Все регионы","2026-07-07","2026-08-05","14","2026-08-07","https://wordstat.yandex.ru/","captured"
"программа клиентской поддержки","broad","Все регионы","2026-07-06","2026-08-06","17","2026-08-07","https://wordstat.yandex.ru/","captured"
"программа клиентской поддержки","phrase","Все регионы","2026-07-06","2026-08-06","0","2026-08-07","https://wordstat.yandex.ru/","captured"
"платформа клиентской поддержки","broad","Все регионы","2026-07-06","2026-08-06","13","2026-08-07","https://wordstat.yandex.ru/","captured"
"платформа клиентской поддержки","phrase","Все регионы","2026-07-06","2026-08-06","0","2026-08-07","https://wordstat.yandex.ru/","captured"
"helpdesk","broad","Россия","2026-07-07","2026-08-05","2361","2026-08-07","https://wordstat.yandex.ru/","captured"
"helpdesk","phrase","Россия","2026-07-07","2026-08-05","4","2026-08-07","https://wordstat.yandex.ru/","captured"
"система поддержки клиентов","broad","Россия","2026-07-07","2026-08-05","329","2026-08-07","https://wordstat.yandex.ru/","captured"
"система поддержки клиентов","phrase","Россия","2026-07-07","2026-08-05","0","2026-08-07","https://wordstat.yandex.ru/","captured"
"омниканальная поддержка","broad","Россия","2026-07-07","2026-08-05","14","2026-08-07","https://wordstat.yandex.ru/","captured"
"омниканальная поддержка","phrase","Россия","2026-07-07","2026-08-05","3","2026-08-07","https://wordstat.yandex.ru/","captured"
"чат для сайта","broad","Россия","2026-07-07","2026-08-05","3432","2026-08-07","https://wordstat.yandex.ru/","captured"
"чат для сайта","phrase","Россия","2026-07-07","2026-08-05","129","2026-08-07","https://wordstat.yandex.ru/","captured"
"онлайн чат для сайта","broad","Россия","2026-07-07","2026-08-05","199","2026-08-07","https://wordstat.yandex.ru/","captured"
"онлайн чат для сайта","phrase","Россия","2026-07-07","2026-08-05","52","2026-08-07","https://wordstat.yandex.ru/","captured"
"виджет чата для сайта","broad","Россия","2026-07-07","2026-08-05","39","2026-08-07","https://wordstat.yandex.ru/","captured"
"виджет чата для сайта","phrase","Россия","2026-07-07","2026-08-05","3","2026-08-07","https://wordstat.yandex.ru/","captured"
"ии бот поддержки","broad","Россия","2026-07-07","2026-08-05","340","2026-08-07","https://wordstat.yandex.ru/","captured"
"ии бот поддержки","phrase","Россия","2026-07-07","2026-08-05","17","2026-08-07","https://wordstat.yandex.ru/","captured"
"контроль sla","broad","Россия","2026-07-07","2026-08-05","242","2026-08-07","https://wordstat.yandex.ru/","captured"
"контроль sla","phrase","Россия","2026-07-07","2026-08-05","36","2026-08-07","https://wordstat.yandex.ru/","captured"
"программа для службы поддержки","broad","Россия","2026-07-07","2026-08-05","148","2026-08-07","https://wordstat.yandex.ru/","captured"
"программа для службы поддержки","phrase","Россия","2026-07-07","2026-08-05","1","2026-08-07","https://wordstat.yandex.ru/","captured"
"система учета обращений","broad","Россия","2026-07-07","2026-08-05","755","2026-08-07","https://wordstat.yandex.ru/","captured"
"система учета обращений","phrase","Россия","2026-07-07","2026-08-05","3","2026-08-07","https://wordstat.yandex.ru/","captured"
"чат бот для поддержки клиентов","broad","Россия","2026-07-07","2026-08-05","60","2026-08-07","https://wordstat.yandex.ru/","captured"
"чат бот для поддержки клиентов","phrase","Россия","2026-07-07","2026-08-05","0","2026-08-07","https://wordstat.yandex.ru/","captured"
"telegram поддержка клиентов","broad","Россия","2026-07-06","2026-08-06","14","2026-08-07","https://wordstat.yandex.ru/","captured"
"telegram поддержка клиентов","phrase","Россия","2026-07-06","2026-08-06","0","2026-08-07","https://wordstat.yandex.ru/","captured"
"виджет обратной связи","broad","Россия","2026-07-07","2026-08-05","543","2026-08-07","https://wordstat.yandex.ru/","captured"
"виджет обратной связи","phrase","Россия","2026-07-07","2026-08-05","14","2026-08-07","https://wordstat.yandex.ru/","captured"
